state,district,stage,sex,date,students
Malaysia,All Districts,primary,both,1/1/2017,2689810
Malaysia,All Districts,primary,both,1/1/2018,2694779
Malaysia,All Districts,primary,both,1/1/2019,2729704
Malaysia,All Districts,primary,both,1/1/2020,2741995
Malaysia,All Districts,primary,both,1/1/2021,2766202
Malaysia,All Districts,primary,both,1/1/2022,2770015
Malaysia,All Districts,primary,female,1/1/2017,1316585
Malaysia,All Districts,primary,female,1/1/2018,1312807
Malaysia,All Districts,primary,female,1/1/2019,1330201
Malaysia,All Districts,primary,female,1/1/2020,1335484
Malaysia,All Districts,primary,female,1/1/2021,1346898
Malaysia,All Districts,primary,female,1/1/2022,1348358
Malaysia,All Districts,primary,male,1/1/2017,1373225
Malaysia,All Districts,primary,male,1/1/2018,1381972
Malaysia,All Districts,primary,male,1/1/2019,1399503
Malaysia,All Districts,primary,male,1/1/2020,1406511
Malaysia,All Districts,primary,male,1/1/2021,1419304
Malaysia,All Districts,primary,male,1/1/2022,1421657
Malaysia,All Districts,secondary,both,1/1/2017,2133323
Malaysia,All Districts,secondary,both,1/1/2018,1947606
Malaysia,All Districts,secondary,both,1/1/2019,1930241
Malaysia,All Districts,secondary,both,1/1/2020,1920485
Malaysia,All Districts,secondary,both,1/1/2021,1959787
Malaysia,All Districts,secondary,both,1/1/2022,1984995
Malaysia,All Districts,secondary,female,1/1/2017,1085617
Malaysia,All Districts,secondary,female,1/1/2018,977661
Malaysia,All Districts,secondary,female,1/1/2019,968400
Malaysia,All Districts,secondary,female,1/1/2020,959048
Malaysia,All Districts,secondary,female,1/1/2021,972095
Malaysia,All Districts,secondary,female,1/1/2022,980620
Malaysia,All Districts,secondary,male,1/1/2017,1047706
Malaysia,All Districts,secondary,male,1/1/2018,969945
Malaysia,All Districts,secondary,male,1/1/2019,961841
Malaysia,All Districts,secondary,male,1/1/2020,961437
Malaysia,All Districts,secondary,male,1/1/2021,987692
Malaysia,All Districts,secondary,male,1/1/2022,1004375
Malaysia,All Districts,post_secondary,both,1/1/2018,128012
Malaysia,All Districts,post_secondary,both,1/1/2019,115536
Malaysia,All Districts,post_secondary,both,1/1/2020,68296
Malaysia,All Districts,post_secondary,both,1/1/2021,64904
Malaysia,All Districts,post_secondary,both,1/1/2022,66770
Malaysia,All Districts,post_secondary,female,1/1/2018,78463
Malaysia,All Districts,post_secondary,female,1/1/2019,70669
Malaysia,All Districts,post_secondary,female,1/1/2020,39822
Malaysia,All Districts,post_secondary,female,1/1/2021,39175
Malaysia,All Districts,post_secondary,female,1/1/2022,38268
Malaysia,All Districts,post_secondary,male,1/1/2018,49549
Malaysia,All Districts,post_secondary,male,1/1/2019,44867
Malaysia,All Districts,post_secondary,male,1/1/2020,28474
Malaysia,All Districts,post_secondary,male,1/1/2021,25729
Malaysia,All Districts,post_secondary,male,1/1/2022,28502
Johor,All Districts,primary,both,1/1/2017,326709
Johor,All Districts,primary,both,1/1/2018,328093
Johor,All Districts,primary,both,1/1/2019,331130
Johor,All Districts,primary,both,1/1/2020,331190
Johor,All Districts,primary,both,1/1/2021,331877
Johor,All Districts,primary,both,1/1/2022,331205
Johor,All Districts,primary,female,1/1/2017,158464
Johor,All Districts,primary,female,1/1/2018,159275
Johor,All Districts,primary,female,1/1/2019,161024
Johor,All Districts,primary,female,1/1/2020,161024
Johor,All Districts,primary,female,1/1/2021,161241
Johor,All Districts,primary,female,1/1/2022,161163
Johor,All Districts,primary,male,1/1/2017,168245
Johor,All Districts,primary,male,1/1/2018,168818
Johor,All Districts,primary,male,1/1/2019,170106
Johor,All Districts,primary,male,1/1/2020,170166
Johor,All Districts,primary,male,1/1/2021,170636
Johor,All Districts,primary,male,1/1/2022,170042
Johor,All Districts,secondary,both,1/1/2017,262069
Johor,All Districts,secondary,both,1/1/2018,240234
Johor,All Districts,secondary,both,1/1/2019,236489
Johor,All Districts,secondary,both,1/1/2020,236802
Johor,All Districts,secondary,both,1/1/2021,238814
Johor,All Districts,secondary,both,1/1/2022,238491
Johor,All Districts,secondary,female,1/1/2017,132845
Johor,All Districts,secondary,female,1/1/2018,120155
Johor,All Districts,secondary,female,1/1/2019,117891
Johor,All Districts,secondary,female,1/1/2020,117688
Johor,All Districts,secondary,female,1/1/2021,118063
Johor,All Districts,secondary,female,1/1/2022,117254
Johor,All Districts,secondary,male,1/1/2017,129224
Johor,All Districts,secondary,male,1/1/2018,120079
Johor,All Districts,secondary,male,1/1/2019,118598
Johor,All Districts,secondary,male,1/1/2020,119114
Johor,All Districts,secondary,male,1/1/2021,120751
Johor,All Districts,secondary,male,1/1/2022,121237
Johor,All Districts,post_secondary,both,1/1/2018,13666
Johor,All Districts,post_secondary,both,1/1/2019,12989
Johor,All Districts,post_secondary,both,1/1/2020,7064
Johor,All Districts,post_secondary,both,1/1/2021,6705
Johor,All Districts,post_secondary,both,1/1/2022,6938
Johor,All Districts,post_secondary,female,1/1/2018,8451
Johor,All Districts,post_secondary,female,1/1/2019,8028
Johor,All Districts,post_secondary,female,1/1/2020,4006
Johor,All Districts,post_secondary,female,1/1/2021,4013
Johor,All Districts,post_secondary,female,1/1/2022,3936
Johor,All Districts,post_secondary,male,1/1/2018,5215
Johor,All Districts,post_secondary,male,1/1/2019,4961
